escenario,aporte_usd,anios,aportes_brutos,invertido_neto,fee_deposito,fee_fx,fee_trading,fee_suscripcion,fees_total,fees_pct_bruto,terminal_10pct,drag_vs_cero
cero,200,5,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,15312.25,0.0
etoro_manual_usd,200,5,12000.0,11940.0,0.0,0.0,60.0,0.0,60.0,0.5,15235.68,76.56
etoro_copy_usd,200,5,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,15312.25,0.0
etoro_manual_fx1.5,200,5,12000.0,11760.0,0.0,180.0,60.0,0.0,240.0,2.0,15006.0,306.24
etoro_manual_fx3.0,200,5,12000.0,11580.0,0.0,360.0,60.0,0.0,420.0,3.5,14776.32,535.93
hapi_pse,200,5,12000.0,11835.6,119.4,0.0,45.0,0.0,164.4,1.37,15102.47,209.78
hapi_tarjeta,200,5,12000.0,11493.0,462.0,0.0,45.0,0.0,507.0,4.22,14665.3,646.94
trii_std_5tickets,200,5,12000.0,10884.38,0.0,0.0,1115.62,0.0,1115.62,9.3,13888.69,1423.56
trii_std_1ticket,200,5,12000.0,11776.88,0.0,0.0,223.12,0.0,223.12,1.86,15027.53,284.71
trii_pro_5tickets,200,5,12000.0,11023.65,0.0,0.0,557.85,418.5,976.35,8.14,14066.4,1245.84
trii_pro_1ticket,200,5,12000.0,11469.93,0.0,0.0,111.57,418.5,530.07,4.42,14635.87,676.38
cero,500,5,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,38280.62,0.0
etoro_manual_usd,500,5,30000.0,29940.0,0.0,0.0,60.0,0.0,60.0,0.2,38204.05,76.56
etoro_copy_usd,500,5,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,38280.62,0.0
etoro_manual_fx1.5,500,5,30000.0,29490.0,0.0,450.0,60.0,0.0,510.0,1.7,37629.84,650.77
etoro_manual_fx3.0,500,5,30000.0,29040.0,0.0,900.0,60.0,0.0,960.0,3.2,37055.64,1224.98
hapi_pse,500,5,30000.0,29820.0,135.0,0.0,45.0,0.0,180.0,0.6,38050.93,229.68
hapi_tarjeta,500,5,30000.0,28800.0,1155.0,0.0,45.0,0.0,1200.0,4.0,36749.39,1531.22
trii_std_5tickets,500,5,30000.0,28884.38,0.0,0.0,1115.62,0.0,1115.62,3.72,36857.05,1423.56
trii_std_1ticket,500,5,30000.0,29776.88,0.0,0.0,223.12,0.0,223.12,0.74,37995.9,284.71
trii_pro_5tickets,500,5,30000.0,29023.65,0.0,0.0,557.85,418.5,976.35,3.25,37034.77,1245.84
trii_pro_1ticket,500,5,30000.0,29469.93,0.0,0.0,111.57,418.5,530.07,1.77,37604.23,676.38
cero,200,10,24000.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,39972.77,0.0
etoro_manual_usd,200,10,24000.0,23880.0,0.0,0.0,120.0,0.0,120.0,0.5,39772.91,199.86
etoro_copy_usd,200,10,24000.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,39972.77,0.0
etoro_manual_fx1.5,200,10,24000.0,23520.0,0.0,360.0,120.0,0.0,480.0,2.0,39173.32,799.46
etoro_manual_fx3.0,200,10,24000.0,23160.0,0.0,720.0,120.0,0.0,840.0,3.5,38573.72,1399.05
hapi_pse,200,10,24000.0,23671.2,238.8,0.0,90.0,0.0,328.8,1.37,39425.14,547.63
hapi_tarjeta,200,10,24000.0,22986.0,924.0,0.0,90.0,0.0,1014.0,4.23,38283.92,1688.85
trii_std_5tickets,200,10,24000.0,21768.75,0.0,0.0,2231.25,0.0,2231.25,9.3,36256.55,3716.22
trii_std_1ticket,200,10,24000.0,23553.75,0.0,0.0,446.25,0.0,446.25,1.86,39229.53,743.24
trii_pro_5tickets,200,10,24000.0,22047.3,0.0,0.0,1115.7,837.0,1952.7,8.14,36720.49,3252.28
trii_pro_1ticket,200,10,24000.0,22939.86,0.0,0.0,223.14,837.0,1060.14,4.42,38207.07,1765.7
cero,500,10,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,99931.93,0.0
etoro_manual_usd,500,10,60000.0,59880.0,0.0,0.0,120.0,0.0,120.0,0.2,99732.06,199.86
etoro_copy_usd,500,10,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,99931.93,0.0
etoro_manual_fx1.5,500,10,60000.0,58980.0,0.0,900.0,120.0,0.0,1020.0,1.7,98233.09,1698.84
etoro_manual_fx3.0,500,10,60000.0,58080.0,0.0,1800.0,120.0,0.0,1920.0,3.2,96734.11,3197.82
hapi_pse,500,10,60000.0,59640.0,270.0,0.0,90.0,0.0,360.0,0.6,99332.34,599.59
hapi_tarjeta,500,10,60000.0,57600.0,2310.0,0.0,90.0,0.0,2400.0,4.0,95934.65,3997.28
trii_std_5tickets,500,10,60000.0,57768.75,0.0,0.0,2231.25,0.0,2231.25,3.72,96215.71,3716.22
trii_std_1ticket,500,10,60000.0,59553.75,0.0,0.0,446.25,0.0,446.25,0.74,99188.68,743.24
trii_pro_5tickets,500,10,60000.0,58047.3,0.0,0.0,1115.7,837.0,1952.7,3.25,96679.64,3252.28
trii_pro_1ticket,500,10,60000.0,58939.86,0.0,0.0,223.14,837.0,1060.14,1.77,98166.23,1765.7
