escenario,aporte_usd,aportes_brutos,fees_total,fees_pct_bruto,terminal_10pct,drag_vs_cero
cero,200,24000.0,0.0,0.0,39972.77,0.0
etoro_manual_usd,200,24000.0,120.0,0.5,39772.91,199.86
etoro_copy_usd,200,24000.0,0.0,0.0,39972.77,0.0
etoro_manual_fx1.5,200,24000.0,480.0,2.0,39173.32,799.46
etoro_manual_fx3.0,200,24000.0,840.0,3.5,38573.72,1399.05
hapi_pse,200,24000.0,328.8,1.37,39425.14,547.63
hapi_tarjeta,200,24000.0,1014.0,4.23,38283.92,1688.85
trii_std_5tickets,200,24000.0,2231.25,9.3,36256.55,3716.22
trii_std_1ticket,200,24000.0,446.25,1.86,39229.53,743.24
trii_pro_5tickets,200,24000.0,1952.7,8.14,36720.49,3252.28
trii_pro_1ticket,200,24000.0,1060.14,4.42,38207.07,1765.7
cero,500,60000.0,0.0,0.0,99931.93,0.0
etoro_manual_usd,500,60000.0,120.0,0.2,99732.06,199.86
etoro_copy_usd,500,60000.0,0.0,0.0,99931.93,0.0
etoro_manual_fx1.5,500,60000.0,1020.0,1.7,98233.09,1698.84
etoro_manual_fx3.0,500,60000.0,1920.0,3.2,96734.11,3197.82
hapi_pse,500,60000.0,360.0,0.6,99332.34,599.59
hapi_tarjeta,500,60000.0,2400.0,4.0,95934.65,3997.28
trii_std_5tickets,500,60000.0,2231.25,3.72,96215.71,3716.22
trii_std_1ticket,500,60000.0,446.25,0.74,99188.68,743.24
trii_pro_5tickets,500,60000.0,1952.7,3.25,96679.64,3252.28
trii_pro_1ticket,500,60000.0,1060.14,1.77,98166.23,1765.7
